#{"t_start": 1768854403.353659, "env_id": "MiniGrid-KeyDoor-v0"}
r,l,t
1.0,211,34.425665
1.0,7,34.4272
1.0,115,34.450383
1.0,67,34.463896
1.0,347,34.533669
0.0,400,34.612744
0.0,400,35.193812
1.0,290,35.25573
1.0,101,35.277377
1.0,8,35.27922
1.0,203,35.322186
0.0,400,35.401982
1.0,128,35.427705
0.0,400,35.509425
1.0,264,36.067918
1.0,22,36.072763
1.0,71,36.087682
0.0,400,36.170656
1.0,13,36.173693
0.0,400,36.257947
1.0,68,36.27231
1.0,78,36.288151
0.0,400,36.36841
1.0,143,36.397163
1.0,60,36.409212
0.0,400,36.961782
0.0,400,37.048707
0.0,400,37.134999
0.0,400,37.215816
1.0,18,37.219691
0.0,400,37.300505
1.0,214,37.343773
1.0,299,37.895686
1.0,5,37.896965
1.0,95,37.917254
1.0,201,37.959597
0.0,400,38.045299
1.0,60,38.058172
1.0,121,38.0828
0.0,400,38.1633
1.0,171,38.198176
1.0,8,38.199922
1.0,65,38.213227
0.0,400,38.786524
1.0,142,38.816758
1.0,7,38.818395
1.0,11,38.82086
1.0,288,38.881306
1.0,322,38.948627
1.0,71,38.963759
0.0,400,39.042982
1.0,6,39.044478
0.0,400,39.123329
1.0,36,39.130632
1.0,24,39.135461
0.0,400,39.699333
0.0,400,39.783504
1.0,64,39.797239
1.0,99,39.818054
0.0,400,39.899515
0.0,400,39.978428
1.0,384,40.056415
0.0,400,40.652322
0.0,400,40.738702
1.0,104,40.76135
1.0,158,40.79544
1.0,26,40.801164
1.0,185,40.838534
0.0,400,40.918159
0.0,400,40.99846
1.0,2,40.999199
1.0,62,41.011894
0.0,400,41.5955
0.0,400,41.681049
0.0,400,41.764471
1.0,67,41.778222
0.0,400,41.858511
0.0,400,41.939891
1.0,19,41.943971
0.0,400,42.519483
0.0,400,42.605384
0.0,400,42.686849
0.0,400,42.767755
0.0,400,42.847549
1.0,95,42.866895
0.0,400,43.462937
1.0,2,43.463702
1.0,162,43.498373
0.0,400,43.584037
1.0,3,43.58488
0.0,400,43.664866
0.0,400,43.744767
0.0,400,44.302901
0.0,400,44.387455
0.0,400,44.471868
1.0,19,44.47639
1.0,14,44.479566
1.0,376,44.554721
0.0,400,44.634354
1.0,22,44.639036
1.0,10,44.641164
0.0,400,45.202008
0.0,400,45.287419
1.0,11,45.290059
1.0,119,45.315312
1.0,6,45.316724
1.0,2,45.317276
1.0,3,45.318044
1.0,22,45.322833
0.0,400,45.404852
0.0,400,45.484284
0.0,400,45.56535
1.0,12,45.568031
1.0,2,45.568562
1.0,241,46.112195
0.0,400,46.197761
1.0,32,46.20481
1.0,11,46.207303
1.0,107,46.229952
1.0,168,46.265747
1.0,3,46.266542
0.0,400,46.34825
0.0,400,46.428354
0.0,400,46.509736
1.0,4,46.510888
1.0,2,46.511424
1.0,51,47.000522
0.0,400,47.085635
1.0,7,47.08737
0.0,400,47.171304
1.0,248,47.222191
0.0,400,47.30193
1.0,35,47.309102
1.0,399,47.387176
1.0,91,47.405304
0.0,400,47.982979
0.0,400,48.068595
0.0,400,48.151842
0.0,400,48.232953
0.0,400,48.31318
1.0,182,48.837258
0.0,400,48.922972
1.0,311,48.989393
0.0,400,49.071044
1.0,42,49.079696
0.0,400,49.158905
1.0,66,49.172373
1.0,9,49.175139
0.0,400,49.761417
1.0,17,49.765463
0.0,400,49.851512
1.0,50,49.862362
1.0,21,49.867039
1.0,331,49.936459
1.0,1,49.936815
1.0,12,49.939524
0.0,400,50.01965
0.0,400,50.0988
1.0,3,50.099633
0.0,400,50.669353
1.0,65,50.683814
1.0,3,50.684595
0.0,400,50.769905
1.0,131,50.798126
1.0,237,50.84865
1.0,8,50.850522
0.0,400,50.931396
1.0,55,50.942489
1.0,226,50.988329
1.0,7,50.98999
1.0,33,50.99679
1.0,264,51.049987
1.0,200,51.58257
0.0,400,51.66722
1.0,10,51.669629
0.0,400,51.75593
0.0,400,51.837356
0.0,400,51.91636
1.0,115,51.939397
1.0,47,51.948933
0.0,400,52.517508
1.0,347,52.591171
1.0,76,52.607755
1.0,127,52.634551
1.0,340,52.705438
1.0,296,52.766151
0.0,400,52.847994
1.0,6,52.849489
1.0,23,52.854284
1.0,91,52.872678
1.0,6,52.874037
1.0,4,52.874973
0.0,400,53.457148
0.0,400,53.543064
0.0,400,53.628325
0.0,400,53.707661
1.0,18,53.711595
1.0,147,53.740604
1.0,349,53.810771
1.0,5,53.811886
0.0,400,54.389186
1.0,22,54.394233
0.0,400,54.479677
0.0,400,54.563278
0.0,400,54.643619
1.0,94,54.66274
1.0,56,54.674168
0.0,400,55.243473
1.0,232,55.293492
0.0,400,55.378133
1.0,376,55.457342
1.0,27,55.462919
1.0,227,55.508942
0.0,400,55.588996
1.0,1,55.58944
0.0,400,56.154927
1.0,81,56.172538
0.0,400,56.25783
0.0,400,56.342595
1.0,34,56.349976
0.0,400,56.429273
0.0,400,56.509136
1.0,272,56.563441
0.0,400,57.138467
0.0,400,57.223181
1.0,110,57.24671
1.0,49,57.257277
0.0,400,57.336931
0.0,400,57.417364
0.0,400,57.982324
0.0,400,58.066929
1.0,11,58.069549
0.0,400,58.153934
0.0,400,58.233911
0.0,400,58.31422
0.0,400,58.869686
0.0,400,58.955806
1.0,17,58.95973
1.0,247,59.012398
0.0,400,59.095135
0.0,400,59.176085
1.0,150,59.206616
0.0,400,59.753958
0.0,400,59.838533
1.0,127,59.865489
1.0,167,59.901233
0.0,400,59.983431
0.0,400,60.064564
1.0,1,60.06499
1.0,304,60.126009
1.0,21,60.130429
1.0,6,60.131766
1.0,219,60.175806
0.0,400,60.743706
1.0,59,60.756391
1.0,177,60.793123
1.0,35,60.800527
0.0,400,60.882505
1.0,332,60.948239
1.0,7,60.949745
1.0,5,60.950853
1.0,216,60.993775
1.0,34,61.000739
1.0,13,61.003425
1.0,17,61.006912
1.0,14,61.009805
1.0,287,61.066195
1.0,380,61.637467
1.0,173,61.674996
0.0,400,61.760239
1.0,35,61.768269
0.0,400,61.848014
0.0,400,61.927786
1.0,65,61.941075
1.0,225,61.987107
1.0,29,62.471392
1.0,95,62.491838
0.0,400,62.575391
1.0,239,62.62609
0.0,400,62.70746
1.0,394,62.786796
1.0,92,62.805253
0.0,400,62.885738
1.0,275,63.453306
1.0,94,63.473434
0.0,400,63.557767
1.0,50,63.568765
1.0,170,63.604233
1.0,25,63.609281
1.0,6,63.610591
0.0,400,63.689602
0.0,400,63.770879
1.0,347,64.333174
1.0,67,64.34781
1.0,2,64.348399
1.0,13,64.351314
1.0,111,64.375316
0.0,400,64.460173
1.0,37,64.468364
1.0,100,64.490379
1.0,81,64.507971
1.0,44,64.517152
1.0,198,64.557019
1.0,78,64.572779
0.0,400,64.65384
0.0,400,64.733636
1.0,73,65.225535
1.0,244,65.277007
1.0,389,65.358625
0.0,400,65.440535
0.0,400,65.520581
0.0,400,65.601338
1.0,33,65.608199
0.0,400,66.177349
1.0,299,66.24137
1.0,16,66.244967
0.0,400,66.330157
1.0,200,66.370371
1.0,212,66.412692
0.0,400,66.492585
1.0,103,66.514001
0.0,400,67.090018
0.0,400,67.173985
1.0,34,67.181582
1.0,106,67.204171
1.0,5,67.205384
0.0,400,67.285637
1.0,40,67.293905
1.0,68,67.307534
0.0,400,67.3863
1.0,16,67.389723
0.0,400,67.950266
1.0,94,67.970816
1.0,86,67.989303
1.0,5,67.990584
1.0,8,67.992459
0.0,400,68.077444
1.0,3,68.078606
1.0,124,68.105804
1.0,78,68.12323
1.0,97,68.14336
0.0,400,68.224742
1.0,6,68.226311
0.0,400,68.308115
1.0,21,68.312738
0.0,400,68.947463
0.0,400,69.034578
1.0,5,69.036005
0.0,400,69.122067
1.0,155,69.154334
1.0,8,69.156194
0.0,400,69.23821
1.0,169,69.272958
1.0,139,69.302312
1.0,14,69.3053
1.0,180,69.34169
